longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-114.31,34.19,15.00,5612.00,1283.00,1015.00,472.00,1.49,66900.00
-114.47,34.40,19.00,7650.00,1901.00,1129.00,463.00,1.82,80100.00
-114.56,33.69,17.00,720.00,174.00,333.00,117.00,1.65,85700.00
-114.57,33.64,14.00,1501.00,337.00,515.00,226.00,3.19,73400.00
-114.57,33.57,20.00,1454.00,326.00,624.00,262.00,1.93,65500.00
-114.58,33.63,29.00,1387.00,236.00,671.00,239.00,3.34,74000.00
-114.58,33.61,25.00,2907.00,680.00,1841.00,633.00,2.68,82400.00
-114.59,34.83,41.00,812.00,168.00,375.00,158.00,1.71,48500.00
-114.59,33.61,34.00,4789.00,1175.00,3134.00,1056.00,2.18,58400.00
-114.60,34.83,46.00,1497.00,309.00,787.00,271.00,2.19,48100.00
-114.60,33.62,16.00,3741.00,801.00,2434.00,824.00,2.68,86500.00
-114.60,33.60,21.00,1988.00,483.00,1182.00,437.00,1.63,62000.00
-114.61,34.84,48.00,1291.00,248.00,580.00,211.00,2.16,48600.00
-114.61,34.83,31.00,2478.00,464.00,1346.00,479.00,3.21,70400.00
-114.63,32.76,15.00,1448.00,378.00,949.00,300.00,0.86,45000.00
-114.65,34.89,17.00,2556.00,587.00,1005.00,401.00,1.70,69100.00
-114.65,33.60,28.00,1678.00,322.00,666.00,256.00,2.97,94900.00
-114.65,32.79,21.00,44.00,33.00,64.00,27.00,0.86,25000.00
-114.66,32.74,17.00,1388.00,386.00,775.00,320.00,1.20,44000.00
-114.67,33.92,17.00,97.00,24.00,29.00,15.00,1.27,27500.00
-114.68,33.49,20.00,1491.00,360.00,1135.00,303.00,1.64,44400.00
-114.73,33.43,24.00,796.00,243.00,227.00,139.00,0.90,59200.00
-114.94,34.55,20.00,350.00,95.00,119.00,58.00,1.63,50000.00
-114.98,33.82,15.00,644.00,129.00,137.00,52.00,3.21,71300.00
-115.22,33.54,18.00,1706.00,397.00,3424.00,283.00,1.63,53500.00
-115.32,32.82,34.00,591.00,139.00,327.00,89.00,3.65,100000.00
-115.37,32.82,30.00,1602.00,322.00,1130.00,335.00,3.57,71100.00
-115.37,32.82,14.00,1276.00,270.00,867.00,261.00,1.94,80900.00
-115.37,32.81,32.00,741.00,191.00,623.00,169.00,1.76,68600.00
-115.37,32.81,23.00,1458.00,294.00,866.00,275.00,2.36,74300.00
-115.38,32.82,38.00,1892.00,394.00,1175.00,374.00,1.99,65800.00
-115.38,32.81,35.00,1263.00,262.00,950.00,241.00,1.90,67500.00
-115.39,32.76,16.00,1136.00,196.00,481.00,185.00,6.26,146300.00
-115.40,32.86,19.00,1087.00,171.00,649.00,173.00,3.32,113800.00
-115.40,32.70,19.00,583.00,113.00,531.00,134.00,1.68,95800.00
-115.41,32.99,29.00,1141.00,220.00,684.00,194.00,3.40,107800.00
-115.46,33.19,33.00,1234.00,373.00,777.00,298.00,1.00,40000.00
-115.48,32.80,21.00,1260.00,246.00,805.00,239.00,2.62,88500.00
-115.48,32.68,15.00,3414.00,666.00,2097.00,622.00,2.33,91200.00
-115.49,32.87,19.00,541.00,104.00,457.00,106.00,3.36,102800.00
-115.49,32.69,17.00,1960.00,389.00,1691.00,356.00,1.90,64000.00
-115.49,32.67,29.00,1523.00,440.00,1302.00,393.00,1.13,84700.00
-115.49,32.67,25.00,2322.00,573.00,2185.00,602.00,1.38,70100.00
-115.50,32.75,13.00,330.00,72.00,822.00,64.00,3.41,142500.00
-115.50,32.68,18.00,3631.00,913.00,3565.00,924.00,1.59,88400.00
-115.50,32.67,35.00,2159.00,492.00,1694.00,475.00,2.18,75500.00
-115.51,33.24,32.00,1995.00,523.00,1069.00,410.00,1.66,43300.00
-115.51,33.12,21.00,1024.00,218.00,890.00,232.00,2.10,46700.00
-115.51,32.99,20.00,1402.00,287.00,1104.00,317.00,1.91,63700.00
-115.51,32.68,11.00,2872.00,610.00,2644.00,581.00,2.63,72700.00
-115.52,34.22,30.00,540.00,136.00,122.00,63.00,1.33,42500.00
-115.52,33.13,18.00,1109.00,283.00,1006.00,253.00,2.16,53400.00
-115.52,33.12,38.00,1327.00,262.00,784.00,231.00,1.88,60800.00
-115.52,32.98,32.00,1615.00,382.00,1307.00,345.00,1.46,58600.00
-115.52,32.97,24.00,1617.00,366.00,1416.00,401.00,1.98,66400.00
-115.52,32.97,10.00,1879.00,387.00,1376.00,337.00,1.99,67500.00
-115.52,32.77,18.00,1715.00,337.00,1166.00,333.00,2.24,79200.00
-115.52,32.73,17.00,1190.00,275.00,1113.00,258.00,2.36,63100.00
-115.52,32.67,6.00,2804.00,581.00,2807.00,594.00,2.06,67700.00
-115.53,34.91,12.00,807.00,199.00,246.00,102.00,2.54,40000.00
-115.53,32.99,25.00,2578.00,634.00,2082.00,565.00,1.72,62200.00
-115.53,32.97,35.00,1583.00,340.00,933.00,318.00,2.41,70700.00
-115.53,32.97,34.00,2231.00,545.00,1568.00,510.00,1.52,60300.00
-115.53,32.73,14.00,1527.00,325.00,1453.00,332.00,1.74,61200.00
-115.54,32.99,23.00,1459.00,373.00,1148.00,388.00,1.54,69400.00
-115.54,32.99,17.00,1697.00,268.00,911.00,254.00,4.35,96000.00
-115.54,32.98,27.00,1513.00,395.00,1121.00,381.00,1.95,60600.00
-115.54,32.97,41.00,2429.00,454.00,1188.00,430.00,3.01,70800.00
-115.54,32.79,23.00,1712.00,403.00,1370.00,377.00,1.28,60400.00
-115.55,32.98,33.00,2266.00,365.00,952.00,360.00,5.43,143000.00
-115.55,32.98,24.00,2565.00,530.00,1447.00,473.00,3.26,80800.00
-115.55,32.82,34.00,1540.00,316.00,1013.00,274.00,2.57,67500.00
-115.55,32.80,23.00,666.00,142.00,580.00,160.00,2.11,61000.00
-115.55,32.79,23.00,1004.00,221.00,697.00,201.00,1.64,59600.00
-115.55,32.79,22.00,565.00,162.00,692.00,141.00,1.21,53600.00
-115.55,32.78,5.00,2652.00,606.00,1767.00,536.00,2.80,84300.00
-115.56,32.96,21.00,2164.00,480.00,1164.00,421.00,3.82,107200.00
-115.56,32.80,28.00,1672.00,416.00,1335.00,397.00,1.60,59400.00
-115.56,32.80,25.00,1311.00,375.00,1193.00,351.00,2.20,63900.00
-115.56,32.80,15.00,1171.00,328.00,1024.00,298.00,1.39,69400.00
-115.56,32.79,20.00,2372.00,835.00,2283.00,767.00,1.17,62500.00
-115.56,32.79,18.00,1178.00,438.00,1377.00,429.00,1.34,58300.00
-115.56,32.78,46.00,2511.00,490.00,1583.00,469.00,3.06,70800.00
-115.56,32.78,35.00,1185.00,202.00,615.00,191.00,4.62,86200.00
-115.56,32.78,29.00,1568.00,283.00,848.00,245.00,3.16,76200.00
-115.56,32.76,15.00,1278.00,217.00,653.00,185.00,4.48,140300.00
-115.57,32.85,33.00,1365.00,269.00,825.00,250.00,3.24,62300.00
-115.57,32.85,17.00,1039.00,256.00,728.00,246.00,1.74,63500.00
-115.57,32.84,29.00,1207.00,301.00,804.00,288.00,1.95,61100.00
-115.57,32.83,31.00,1494.00,289.00,959.00,284.00,3.53,67500.00
-115.57,32.80,16.00,2276.00,594.00,1184.00,513.00,1.88,93800.00
-115.57,32.79,34.00,1152.00,208.00,621.00,208.00,3.60,73600.00
-115.57,32.78,20.00,1534.00,235.00,871.00,222.00,6.27,97200.00
-115.57,32.78,15.00,1413.00,279.00,803.00,277.00,4.30,87500.00
-115.58,33.88,21.00,1161.00,282.00,724.00,186.00,3.18,71700.00
-115.58,32.81,5.00,805.00,143.00,458.00,143.00,4.48,96300.00
-115.58,32.81,10.00,1088.00,203.00,533.00,201.00,3.66,87500.00
-115.58,32.79,14.00,1687.00,507.00,762.00,451.00,1.66,64400.00
-115.58,32.78,5.00,2494.00,414.00,1416.00,421.00,5.78,110100.00
-115.59,32.85,20.00,1608.00,274.00,862.00,248.00,4.88,90800.00
-115.59,32.79,8.00,2183.00,307.00,1000.00,287.00,6.38,159900.00
-115.59,32.69,30.00,935.00,177.00,649.00,148.00,2.58,94400.00
-115.60,33.20,37.00,709.00,187.00,390.00,142.00,2.45,72500.00
-115.60,32.87,3.00,1629.00,317.00,1005.00,312.00,4.13,83200.00
-115.62,33.04,20.00,1121.00,244.00,766.00,230.00,2.30,62000.00
